count,item_1,item_2,lift,item_1_count,item_2_count
8,Belgium Dark Chocolate Brownie Shake (Milkshake),Cold Coffee,0.14912405850433175,249,2449
11,Cold Coffee,Dry Fruit Shake (Milkshake),0.15150252086178215,2449,337
6,Banana Shake (Milkshake),Cold Coffee,0.17190690077582688,162,2449
5,Cold Coffee,Custard Apple (sitaphal),0.1813080594120049,2449,128
11,Cold Coffee,Nutella Brownie Shake (Milkshake),0.2026045616286531,2449,252
28,Cold Coffee,Mango Shake (Milkshake),0.22139968822235964,2449,587
10,Cold Coffee,Oreo Brownie Shake (Milkshake),0.22752383926212377,2449,204
12,Cold Coffee,Kitkat Shake,0.2330453382902423,2449,239
8,Cad-b,Strawberry Shake (Milkshake),0.2342232353282077,429,905
20,Cold Coffee,Wonder Vanilla Shake (Milkshake),0.24558128682260982,2449,378
8,Cold Coffee,Strawberry Banana Shake (Milkshake),0.24590656005018943,2449,151
16,Cold Coffee,Hazelnut Shake (Milkshake),0.2534600038742567,2449,293
13,Dry Fruit Shake (Milkshake),Waffles,0.2602312250702216,337,1685
35,Chocolate Shake (Milkshake),Cold Coffee,0.2603397776172378,624,2449
95,Cold Coffee,Waffles,0.26168617239762365,2449,1685
25,Cold Coffee,Oreo Shake (Milkshake),0.26372081369018896,2449,440
6,Chocolate Shake (Milkshake),Classic Lemonade,0.2659320606400899,624,411
6,Cad-b,Mango Shake (Milkshake),0.27083308514313625,429,587
9,Coffee Brownie Shake (Milkshake),Cold Coffee,0.2822525465440941,148,2449
7,Banana Shake (Milkshake),Waffles,0.29149357072205734,162,1685
7,Belgium Dark Chocolate Shake (Thickshake),Cold Coffee,0.3094324213964883,105,2449
15,Chocolate Brownie Shake (Milkshake),Cold Coffee,0.3122076000637214,223,2449
6,Choco-Chip Brownie Shake (Milkshake),Chocolate Shake (Milkshake),0.32146493212669686,340,624
28,Mango Shake (Milkshake),Waffles,0.3217850661463257,587,1685
5,Strawberry Cooler,Strawberry Shake (Milkshake),0.3253943262817393,193,905
24,Choco-Chip Brownie Shake (Milkshake),Cold Coffee,0.3276343285374583,340,2449
28,Blue Curacao,Waffles,0.32793026706231454,576,1685
9,Dry Fruit Shake (Milkshake),Strawberry Shake (Milkshake),0.33543616899191764,337,905
17,Choco-Chip Brownie Shake (Milkshake),Waffles,0.337299703264095,340,1685
