count,item_1,item_2,lift
1,Chocolate Brownie (Thickshake),Mango (Thickshake),3788.9999999999995
1,Ice Cream,Strawberry Banana (Thickshake),2841.7499999999995
1,Choco-Chip Banana (Thickshake),Peanut Butter Banana (Thickshake),2841.7499999999995
1,Choco-Chip Banana (Milkshake),Peanut Butter Masala (Milkshake),1894.4999999999998
1,Peanut Butter Shake (Thickshake),Strawberry Banana (Thickshake),1420.8749999999998
1,Oreo Go Nuts Shake (Milkshake),Peanut Butter Brownie Shake (Thickshake),1136.7
1,5 Star Shake (Thickshake),Fruit-A-List Shake (Thickshake),1033.3636363636365
1,Choco-chip Banana (Thickshake),Oreo Brownie (Milkshake),947.2499999999999
1,Choco-Chip,Chocolate Waffle,710.4374999999999
1,Chilli Pineapple Cooler,Peanut Butter Banana (Milkshake),631.5
1,Chocolate Brownie (Thickshake),Oreo 'Go' Nuts Shake (Thickshake),541.2857142857142
1,Coffee Brownie (Thickshake),Oreo Brownie (Thickshake),516.6818181818182
1,Chilli Guava Cooler,Mango (Thickshake),473.62499999999994
1,Caramel Shake (Thickshake),Peanut Butter Banana (Thickshake),454.68
1,Lemonade,Red Velvet,454.68
1,Choco Chip Brownie (Thickshake),Choco-Chip Banana (Thickshake),405.9642857142857
1,Coffee Brownie (Milkshake),Peanut Butter Shake (Thickshake),355.21874999999994
1,Oreo,Waffle Special Offer,334.3235294117647
1,Chilli Pineapple Cooler,Oreo Banana (Thickshake),315.75
1,Blackcurrent Shake (Milkshake),Mango (Thickshake),315.75
1,Dates Shake (Thickshake),Snickers Shake (Thickshake),315.74999999999994
1,Cold Coffee Cooler,Peanut Butter Banana (Milkshake),307.2162162162162
1,Cold Coffee Cooler,Mango (Thickshake),307.2162162162162
3,Kitkat,Waffle Special Offer,286.56302521008405
1,Blue Curacao Cooler,Oreo,270.6428571428571
1,Cookie N Cream Shake (Milkshake),Oreo Brownie (Milkshake),236.81249999999997
1,Brownie Nuts Shake (Milkshake),Coffee Brownie (Thickshake),227.34
1,5 Star Shake (Thickshake),Oreo Shake (Thickshake),183.33870967741936
2,Chilli Pineapple Cooler,Oreo Banana (Milkshake),180.42857142857144
1,Blue Curacao Cooler,Kitkat Shake (Thickshake),180.42857142857142
1,Mango (Milkshake),Strawberry Banana (Milkshake),172.22727272727272
1,Choco-Chip,Waffle Special Offer,167.16176470588235
2,Chocolate Shake (Thickshake),Munch Shake (Thickshake),161.23404255319147
1,Blackcurrent Shake (Milkshake),Classic Waffles,157.875
1,Chilli Pineapple Cooler,Chocolate Brownie (Milkshake),157.875
4,Chilli Guava Cooler,Oreo Brownie (Milkshake),157.87499999999997
1,Choco-Chip Banana (Milkshake),Oreo Brownie (Milkshake),157.87499999999997
